Text,Primary Intent,Secondary Intent,Intiated by,Response,List
Hello a very good morning Santosh. I am Amit am talking from Motilal Oswal,Greeting and Etiquette,"Time of the day greeting
",Advisor,"Good Morning, Amit","Days,"
Good Morning Mika sir.,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning.,
"Hello good morning Sylvester Sir, I am speaking from Motilal Oswal.",Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning,
Morning Hrithik sir Madhu Srikanth speaking from Motilal Oswal.,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning Madhu,
Hello very good morning sir this is Badal speaking from motilal oswal your financial advisor.,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning to you as well.,
"Ok Mam, Thank you.",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Yes, OK  Thank you",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Done Sir. OK, thank you OK?",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Ok ma'am, thank you.",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"OK, thank you have a nice day sir.",Greeting and Etiquette,Closing the call greeting,Advisor,Nice day to you as well,
"Hello Sir, Happy Diwali !",Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali Madhu Sir.,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali to you and your family Sir,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
"Okay Sir, Happy Diwali to you as well.",Greeting and Etiquette,Festival Greeting,Advisor,Thank you! Thank you!,
Happy Diwali,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
And I'm selling my call of 3050.,Trade generation,Sell,Customer,Okay sir,
"I'm selling two change-tax dollars, well, 2323830's the rate is okay.",Trade generation,Sell,Advisor,"Yes, its fine.",
And November call is selling at 29.90.,Trade generation,Sell,Advisor,Okay fine.,
I'm selling 575 shares at 3926.,Trade generation,Sell,Customer,Okay Sir,
"we can sell normal pay tomorrow, sir.",Trade generation,Sell,Advisor,"Okay, thank you for the advise.",
You can sell the share whenever you think the share's price is falling.,Trade generation,Sell,Advisor,Okay.,
"Sir, I would recommend that you buy ",Trade generation,Buy,Advisor,Okay,
I want to Buy ,Trade generation,Buy,Customer,Okay Sir,
Buy Tata Steel 27 shares.,Trade generation,Buy,Customer,Okay Sir,
Sir I would suggest that you buy BEL shares now as they are expected to rise.,Trade generation,Buy,Advisor,Okay buy it.,
Remove it,Trade generation,Sell,Customer,,
Shall I remove it,Trade generation,Sell,Advisor,,
Should I remove it,Trade generation,Sell,Advisor,,
I suggest we remove it,Trade generation,Sell,Advisor,,
"Bought and removed. Good winter will take a new one. Yes, how? One is payment.",Trade generation,,,,
"Nowadays, remove one.",Trade generation,,,,
They were removed yes.,Trade generation,,,,
"Sir, we removed the bean day.",Trade generation,,,,
"Remove it, it will be weapon.",Trade generation,,,,
Remove 231250.,Trade generation,,,,
"I'll do it, but I'll remove it from Dad in 10 days and 15 days.",Trade generation,,,,
"The profit was coming, we removed the family.",Trade generation,,,,
"If it becomes 1600, I will remove it.",Trade generation,,,,
"No, i haven't asked anything like that now, i need money now, i'll remove everything in 815 days.",Trade generation,,,,
"There are 16 Apollos. Remove Apollo. Well, this future retail and that person or one.",Trade generation,,,,
I'll remove the recovered W. That means you can see once that +2 is till date.,Trade generation,,,,
"If you find your stomach in your stomach, remove it.",Trade generation,,,,
"Remove the industry, I'll do some harm.",Trade generation,,,,
"If you find your stomach in your stomach, remove it.",Trade generation,,,,
"And there is a need, sir, so it is necessary to remove it. Fine Done Ok Fired 121210 at 12:00 pm.",Trade generation,,,,
"Okay, 14. Quantity has been done in 1503, now 501 is running for. Ok, we'll go to a â‚¹15220, remove those who open Tata Motors. When you leave today, it increases today. Sir, right is the right address.",Trade generation,,,,
